Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
4da-sun-tee,4DA Sun Tee,"<p>The original 4DA mark — a sun forged from code and conviction.</p><p>Featuring the iconic ""4"" burning through a solar surface, this is the shirt that started the signal. Bold enough to stand alone. Quiet enough to mean something.</p><p><em>""All signal. No feed.""</em></p><ul><li>Gildan 5000 heavyweight tee (5.3 oz)</li><li>100% preshrunk cotton</li><li>Taped neck and shoulders</li><li>Seamless double-needle collar</li><li>Unisex classic fit</li><li>DTFlex printed for vivid, durable color</li></ul>",4DA SYSTEMS,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"4da, sun, developer, tech, all-signal",TRUE,Color,Black,4DA-SUN-BLK,170,shopify,deny,manual,59.00,,TRUE,TRUE,,1,active
4da-sun-tee,,,,,,,,Color,White,4DA-SUN-WHT,170,shopify,deny,manual,59.00,,TRUE,TRUE,,,active
4da-inferno-tee,4DA Inferno Tee,"<p>No words. No tagline. Just the mark.</p><p>A full-scale solar orb with the ""4"" forged into its core. This is 4DA reduced to its purest form — energy, signal, and nothing else.</p><p>For those who know, no explanation needed.</p><ul><li>Gildan 5000 heavyweight tee (5.3 oz)</li><li>100% preshrunk cotton</li><li>Taped neck and shoulders</li><li>Seamless double-needle collar</li><li>Unisex classic fit</li><li>DTFlex printed for vivid, durable color</li></ul>",4DA SYSTEMS,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"4da, sun, inferno, minimal, art",TRUE,Color,Black,4DA-INF-BLK,170,shopify,deny,manual,59.00,,TRUE,TRUE,,1,active
4da-inferno-tee,,,,,,,,Color,White,4DA-INF-WHT,170,shopify,deny,manual,59.00,,TRUE,TRUE,,,active
code-fragment-tee,Code Fragment Tee — relevance.rs,"<p>Real code. Real function. relevance.rs — the scoring engine that decides what matters.</p><p>Rendered in a terminal window with syntax highlighting, this isn't decorative code. It's the actual logic that powers 4DA's signal-over-noise philosophy.</p><p><code>assert!(data.stays_local());</code></p><p><code>// Privacy first. Always.</code></p><ul><li>Gildan 5000 heavyweight tee (5.3 oz)</li><li>100% preshrunk cotton</li><li>Taped neck and shoulders</li><li>Seamless double-needle collar</li><li>Unisex classic fit</li><li>Black: dark editor theme | White: light editor theme</li></ul>",4DA SYSTEMS,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"4da, code, developer, rust, programming, engineer",TRUE,Color,Black,4DA-CODE-BLK,170,shopify,deny,manual,59.00,,TRUE,TRUE,,1,active
code-fragment-tee,,,,,,,,Color,White,4DA-CODE-WHT,170,shopify,deny,manual,59.00,,TRUE,TRUE,,,active
streets-tee,STREETS Tee,"<p>STREETS — The Developer Income Playbook. EST. 2026.</p><p>Seven modules. Zero gatekeeping. The playbook that teaches developers to build income beyond the salary. Wear the signal.</p><p><em>For the streets. Always free.</em></p><ul><li>Gildan 5000 heavyweight tee (5.3 oz)</li><li>100% preshrunk cotton</li><li>Taped neck and shoulders</li><li>Seamless double-needle collar</li><li>Unisex classic fit</li></ul>",4DA SYSTEMS,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"4da, streets, developer, income, playbook, typography",TRUE,Color,Black,4DA-STR-BLK,170,shopify,deny,manual,59.00,,TRUE,TRUE,,1,active
streets-tee,,,,,,,,Color,White,4DA-STR-WHT,170,shopify,deny,manual,59.00,,TRUE,TRUE,,,active
4da-logo-tee,4DA Logo Tee,"<p>The mark. Nothing more.</p><p>A single bold ""4"" — the symbol of 4-Dimensional Autonomy. No tagline, no explanation. If you know, you know.</p><p>The quietest shirt in the collection. The one that says the most.</p><ul><li>Gildan 5000 heavyweight tee (5.3 oz)</li><li>100% preshrunk cotton</li><li>Taped neck and shoulders</li><li>Seamless double-needle collar</li><li>Unisex classic fit</li></ul>",4DA SYSTEMS,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"4da, logo, minimal, clean",TRUE,Color,Black,4DA-LOGO-BLK,170,shopify,deny,manual,59.00,,TRUE,TRUE,,1,active
4da-logo-tee,,,,,,,,Color,White,4DA-LOGO-WHT,170,shopify,deny,manual,59.00,,TRUE,TRUE,,,active
void-pulse-tee,Void Pulse Tee,"<p>The Void Engine has a heartbeat.</p><p>Gold concentric rings radiating from a burning core, crossed by a pulse wave — the signal detector at work. This is what it looks like when the engine is scanning.</p><p><strong>VOID ENGINE — 4DA</strong></p><ul><li>Gildan 5000 heavyweight tee (5.3 oz)</li><li>100% preshrunk cotton</li><li>Taped neck and shoulders</li><li>Seamless double-needle collar</li><li>Unisex classic fit</li><li>Black only — the gold needs darkness to glow</li></ul>",4DA SYSTEMS,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"4da, void-engine, pulse, heartbeat, gold",TRUE,Color,Black,4DA-VOID-BLK,170,shopify,deny,manual,59.00,,TRUE,TRUE,,1,active
